Electricity Load [J],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
24.54354757272914,92.77148949121035,0.0,0.0,0.75,0.75
24.07853878592184,83.8914332474688,0.0,0.0,0.0,0.0
26.577761125870513,86.1739370782402,0.0,0.0,0.0,0.0
33.53185673642541,84.52865148881608,0.0,0.0,0.0,0.0
43.10294645997117,78.36023696433622,0.0,0.0,0.0,0.0
49.89195004618607,75.54564549290907,0.0,0.03375,0.0,0.0
47.771207156474944,78.08157529169964,0.0,0.1918125,0.625,0.625
44.43247974066465,70.3847146509535,0.0,0.2385,1.0,1.0
41.27589731427925,76.53456045107266,0.0,0.0189375,1.0,1.0
41.74090610108653,75.08749150748244,0.0,0.0,1.0,1.0
41.27589731427925,72.0936294876035,0.0,0.0,1.0,1.0
39.88087095385723,65.26067781185404,0.0,0.094125,1.0,1.0
39.41586216704995,62.1844151445725,0.0,0.3765,2.25,2.25
41.919067864041736,82.26117560713473,0.0,0.031375,3.0,3.0
54.1715249169611,90.25574883188372,0.0,0.0,3.0,3.0
68.75300919567339,86.69975077870374,0.0,0.0,3.0,3.0
71.33876087219194,86.83575245898305,0.0,0.0,3.0,3.0
67.88736483844153,92.29022208057233,0.0,0.0,3.0,3.0
66.02732969121233,69.08084938142211,0.0,0.0,1.125,1.125
58.430063596181654,56.307734961185055,0.0,0.0,0.0,0.0
46.18270963307773,65.22780380234413,0.0,0.0,0.0,0.0
35.50854379335107,74.14954144787241,0.0,0.0,0.0,0.0
27.33360029357292,82.68254855647801,0.0,0.0,0.0,0.0
25.47356514634371,86.98729578336567,0.0,0.0,0.0,0.0
24.54354757272914,89.84213399494601,0.0,0.0,0.0,0.0
24.07853878592184,92.51050048415439,0.0,0.0,0.0,0.0
26.577761125870513,93.99176581518849,0.0,0.0,0.0,0.0
33.53185673642541,91.80730076890369,0.0,0.0,0.0,0.0
43.10294645997117,84.95400605907584,0.0,0.0,0.0,0.0
49.89195004618607,81.93899732417903,0.0,0.0346875,0.0,0.0
47.771207156474944,74.00289884516772,0.0,0.2686875,0.0,0.0
44.43247974066465,47.46348982033799,3.4957022370530466,0.6659375,0.0,0.0
41.27589731427925,36.81860397844579,11.817909545210453,0.717,0.0,0.0
41.74090610108653,34.14816012900647,18.435003783097926,0.6825625,0.0,0.0
41.27589731427925,32.534879848,17.696848175082295,0.5411875,0.0,0.0
39.88087095385723,29.88580687502866,20.374778353890175,0.560875,0.0,0.0
39.41586216704995,50.607349855699255,6.509567147306358,0.416375,2.5,2.5
41.919067864041736,80.44469432566683,0.0,0.0316875,4.0,4.0
54.1715249169611,83.99002002259265,0.0,0.0,4.0,4.0
68.75300919567339,79.54857067136925,0.0,0.0,4.0,4.0
71.33876087219194,78.66754240358622,0.0,0.0,4.0,4.0
67.88736483844153,83.42290113623692,0.0,0.0,4.0,4.0
66.02732969121233,72.06460189886167,0.0,0.0,2.75,2.75
58.430063596181654,66.76161573254333,0.0,0.0,2.0,2.0
46.18270963307773,75.35587344222495,0.0,0.0,2.0,2.0
35.50854379335107,84.11438874520574,0.0,0.0,2.0,2.0
27.33360029357292,92.74955761298442,0.0,0.0,2.0,2.0
25.47356514634371,97.43751805568292,0.0,0.0,2.0,2.0
24.54354757272914,82.49601266851104,0.0,0.0,0.75,0.75
24.07853878592184,74.11959499083764,0.0,0.0,0.0,0.0
26.577761125870513,75.26334726391158,0.0,0.0,0.0,0.0
33.53185673642541,73.11910383091134,0.0,0.0,0.0,0.0
43.10294645997117,66.5665989966579,0.0,0.0,0.0,0.0
49.958243229241965,61.554320196943124,0.0,0.073125,0.0,0.0
49.22865396302196,48.218044316946816,0.5532034208855879,0.2925,0.0,0.0
45.88992654721165,51.65040148714617,0.2754530452667256,0.024375,0.0,0.0
42.73334412082626,46.45823410276403,0.0,0.0,0.0,0.0
43.19835290763354,36.18806036614073,1.7999373515060964,0.1321875,0.0,0.0
42.549621892823666,21.68407239906272,16.240027808768268,0.52875,0.0,0.0
41.33831776040424,24.46443535535247,4.180342578649957,0.0440625,0.0,0.0
40.873308973596956,47.86823646607292,0.34506756096983926,0.0,1.875,1.875
43.376514670588755,62.70370069103578,0.0,0.0,3.0,3.0
55.62897172350814,65.44030214228897,0.0,0.0,3.0,3.0
68.8193023787293,60.670837316796074,0.0,0.0,3.0,3.0
71.33876087219194,58.94395042255257,0.0,0.0,3.0,3.0
67.88736483844153,63.033473667615574,0.0,0.0,3.0,3.0
66.02732969121233,59.87281334613245,0.0,0.0,2.375,2.375
58.430063596181654,59.45582497518551,0.0,0.0,2.0,2.0
46.18270963307773,67.52677932114716,0.0,0.0,2.0,2.0
35.50854379335107,75.98440885517547,0.0,0.0,2.0,2.0
27.33360029357292,84.89698679063552,0.0,0.0,2.0,2.0
25.47356514634371,89.60014443664517,0.0,0.0,2.0,2.0
24.54354757272914,93.39231158972788,0.0,0.0,2.0,2.0
24.07853878592184,97.12553504878127,0.0,0.0,2.0,2.0
26.577761125870513,100.67660839790369,0.0,0.0,2.0,2.0
33.53185673642541,100.7379252598488,0.0,0.0,2.0,2.0
43.10294645997117,96.04217484962815,0.0,0.0,2.0,2.0
49.958243229241965,94.91277263063081,0.0,0.0215625,2.0,2.0
49.22865396302196,83.22995683157856,0.0,0.08625,1.375,1.375
45.88992654721165,77.82068947312828,0.0,0.0071875,1.0,1.0
42.73334412082626,69.46021776165314,0.0,0.0523125,1.0,1.0
43.19835290763354,48.54805843855776,0.8991142308729122,0.26775,1.0,1.0
42.549621892823666,39.8735528673934,1.9633044709916865,0.2514375,1.0,1.0
41.33831776040424,43.946836162732424,0.16054412232440132,0.09975,1.0,1.0
40.873308973596956,40.656738647494024,1.6736431404725005,0.321,1.625,1.625
43.376514670588755,54.931907621509566,0.0,0.02675,2.0,2.0
55.62897172350814,58.06618046405091,0.0,0.0,2.0,2.0
68.8193023787293,53.32043253784589,0.0,0.0,2.0,2.0
71.33876087219194,51.630941165069395,0.0,0.0,2.0,2.0
67.88736483844153,55.70044266892628,0.0,0.0,2.0,2.0
66.02732969121233,60.621722375210766,0.0,0.0,2.0,2.0
58.430063596181654,66.14982791144998,0.0,0.0,2.0,2.0
46.18270963307773,75.955507397964,0.0,0.0,2.0,2.0
35.50854379335107,86.11400172911905,0.0,0.0,2.0,2.0
27.33360029357292,95.83030457191835,0.0,0.0,2.0,2.0
25.47356514634371,101.34449677588043,0.0,0.0,2.0,2.0
24.54354757272914,86.27693318049808,0.0,0.0,0.75,0.75
24.07853878592184,77.60976443866869,0.0,0.0,0.0,0.0
26.577761125870513,79.36440990580036,0.0,0.0,0.0,0.0
33.53185673642541,77.43535778173802,0.0,0.0,0.0,0.0
43.10294645997117,70.96412241948255,0.0,0.0,0.0,0.0
49.958243229241965,66.70793903744341,0.0,0.048375,0.0,0.0
49.22865396302196,57.41359798073602,0.0,0.1935,0.0,0.0
45.88992654721165,53.40352386787708,0.10090973647441591,0.1160625,0.0,0.0
42.73334412082626,31.50689029198226,5.095901419139867,0.39975,0.0,0.0
43.19835290763354,34.93094888191484,0.8710404855565709,0.0333125,0.0,0.0
42.549621892823666,30.40889076542161,2.2832434527507024,0.12375,0.0,0.0
41.33831776040424,19.804724707563235,14.941108133234883,0.495,0.0,0.0
40.873308973596956,46.060481063477695,1.5174681669981829,0.04125,1.875,1.875
43.376514670588755,65.07942259102025,0.0,0.0,3.0,3.0
55.62897172350814,69.72723927164247,0.0,0.0,3.0,3.0
68.8193023787293,66.72484249231317,0.0,0.0,3.0,3.0
71.33876087219194,67.18339888144484,0.0,0.0,3.0,3.0
67.88736483844153,73.0689312858865,0.0,0.0,3.0,3.0
66.02732969121233,61.70991607278829,0.0,0.0,1.75,1.75
58.430063596181654,56.40099048258613,0.0,0.0,1.0,1.0
46.18270963307773,65.2076993629607,0.0,0.0,1.0,1.0
35.50854379335107,73.98837946825935,0.0,0.0,1.0,1.0
27.33360029357292,82.61628090875143,0.0,0.0,1.0,1.0
25.47356514634371,87.43265890949762,0.0,0.0,1.0,1.0
24.54354757272914,81.03954770776735,0.0,0.0,0.375,0.375
24.07853878592184,78.51587900018585,0.0,0.0,0.0,0.0
26.577761125870513,80.73472804778105,0.0,0.0,0.0,0.0
33.53185673642541,79.53643541308223,0.0,0.0,0.0,0.0
43.10294645997117,73.66063485002957,0.0,0.0,0.0,0.0
49.958243229241965,71.63431384688211,0.0,0.0249375,0.0,0.0
49.22865396302196,79.56814297831507,0.0,0.09975,0.625,0.625
45.88992654721165,81.26601588040663,0.0,0.0593125,1.0,1.0
42.73334412082626,59.51908217742727,0.27138507758613434,0.2634375,1.0,1.0
43.19835290763354,47.65417796868285,1.6870142242190345,0.32075,1.0,1.0
42.549621892823666,39.36603741097824,3.5638766019719013,0.3569375,1.0,1.0
41.33831776040424,35.446839735772926,4.120309654730848,0.3145,1.0,1.0
40.873308973596956,54.44397589931118,0.5298602170171867,0.0245625,1.625,1.625
43.376514670588755,64.21412485114749,0.0,0.00075,2.0,2.0
55.62897172350814,66.4571265578328,0.0,0.0,2.0,2.0
68.8193023787293,61.17760144725015,0.0,0.0,2.0,2.0
71.33876087219194,58.81915362529986,0.0,0.0,2.0,2.0
67.88736483844153,62.35595297691691,0.0,0.0,2.0,2.0
66.02732969121233,58.197474429434415,0.0,0.0,1.375,1.375
58.430063596181654,57.5610891616723,0.0,0.0,1.0,1.0
46.18270963307773,66.5772156099034,0.0,0.0,1.0,1.0
35.50854379335107,76.30332637945523,0.0,0.0,1.0,1.0
27.33360029357292,86.510031826264,0.0,0.0,1.0,1.0
25.47356514634371,92.73524071476666,0.0,0.0,1.0,1.0
24.54354757272914,86.74113003115725,0.0,0.0,0.375,0.375
24.07853878592184,84.04842701838147,0.0,0.0,0.0,0.0
26.577761125870513,86.38389932043822,0.0,0.0,0.0,0.0
33.53185673642541,84.86815485387582,0.0,0.0,0.0,0.0
43.10294645997117,78.51213705439974,0.0,0.0,0.0,0.0
49.958243229241965,75.9576236908213,0.0,0.0223125,0.0,0.0
49.22865396302196,73.80372358999331,0.0,0.08925,0.0,0.0
45.88992654721165,72.27306788175522,0.0,0.0524375,0.0,0.0
42.73334412082626,54.0637676957599,0.0,0.18,0.0,0.0
43.19835290763354,55.648406133543304,0.0,0.073125,0.0,0.0
42.549621892823666,39.97268324937055,1.3948736986033405,0.2325,0.0,0.0
41.33831776040424,49.11000302178385,0.0,0.019375,0.0,0.0
40.873308973596956,79.87305185796264,0.0,0.0,1.875,1.875
43.376514670588755,96.83607109777934,0.0,0.0,3.0,3.0
55.62897172350814,95.6997388554477,0.0,0.0,3.0,3.0
68.8193023787293,89.19878124439813,0.0,0.0,3.0,3.0
71.33876087219194,86.30588114453356,0.0,0.0,3.0,3.0
67.88736483844153,88.80421307463462,0.0,0.0,3.0,3.0
66.02732969121233,101.8592579873847,0.0,0.0,3.625,3.625
58.430063596181654,112.39074363194243,0.0,0.0,4.0,4.0
46.18270963307773,122.06681702371746,0.0,0.0,4.0,4.0
35.50854379335107,131.93585097301394,0.0,0.0,4.0,4.0
27.33360029357292,141.97453461593332,0.0,0.0,4.0,4.0
25.47356514634371,147.89411859388068,0.0,0.0,4.0,4.0
24.54354757272914,131.87681356804111,0.0,0.0,2.75,2.75
24.07853878592184,122.66409285036764,0.0,0.0,2.0,2.0
26.577761125870513,124.52010798843946,0.0,0.0,2.0,2.0
33.53185673642541,123.04200269568702,0.0,0.0,2.0,2.0
43.10294645997117,116.6919087723408,0.0,0.0,2.0,2.0
49.89195004618607,113.770185671871,0.0,0.0285,2.0,2.0
47.771207156474944,99.26652394509496,0.0,0.114,1.375,1.375
44.43247974066465,90.60039763282069,0.0,0.066875,1.0,1.0
41.27589731427925,70.12646442267143,0.0,0.2295,1.0,1.0
41.74090610108653,71.71947932511334,0.0,0.0928125,1.0,1.0
41.27589731427925,53.45449779491461,0.3604661776231415,0.29475,1.0,1.0
39.88087095385723,64.72123634893863,0.0,0.0245625,1.0,1.0
39.41586216704995,79.2014386214298,0.0,0.0015,1.625,1.625
41.919067864041736,84.6016824967515,0.0,0.006,2.0,2.0
54.1715249169611,86.63799889226686,0.0,0.0,2.0,2.0
68.75300919567339,80.56345873571283,0.0,0.0,2.0,2.0
71.33876087219194,78.2175488596897,0.0,0.0,2.0,2.0
67.88736483844153,81.34893163012245,0.0,0.0,2.0,2.0
66.02732969121233,75.749823337206,0.0,0.0,1.375,1.375
58.430063596181654,74.00017929662903,0.0,0.0,1.0,1.0
46.18270963307773,82.15001808239715,0.0,0.0,1.0,1.0
35.50854379335107,90.82810067889969,0.0,0.0,1.0,1.0
27.33360029357292,99.17927243207494,0.0,0.0,1.0,1.0
25.47356514634371,103.20825750209566,0.0,0.0,1.0,1.0
24.54354757272914,105.89668530756222,0.0,0.0,1.0,1.0
24.07853878592184,108.04183064583613,0.0,0.0,1.0,1.0
26.577761125870513,109.34460711067827,0.0,0.0,1.0,1.0
33.53185673642541,106.552586111686,0.0,0.0,1.0,1.0
43.10294645997117,99.47867566850853,0.0,0.0,1.0,1.0
49.89195004618607,94.9133286122747,0.0,0.0474375,1.0,1.0
47.771207156474944,96.87060039013194,0.0,0.18975,1.625,1.625
44.43247974066465,105.37634448983341,0.0,0.0158125,2.0,2.0
41.27589731427925,92.91997044915522,0.0,0.109125,2.0,2.0
41.74090610108653,63.87930585196321,0.6099357890370822,0.4365,2.0,2.0
41.27589731427925,72.83150996485458,0.0,0.036375,2.0,2.0
39.88087095385723,70.05862969282447,0.0,0.1025625,2.0,2.0
39.41586216704995,76.96141224806769,0.0,0.445125,3.875,3.875
41.919067864041736,98.17115068717544,0.0,0.1736875,5.0,5.0
54.1715249169611,108.77771887529039,0.0,0.0,5.0,5.0
68.75300919567339,105.42771648134384,0.0,0.0,5.0,5.0
71.33876087219194,104.35795789036399,0.0,0.0,5.0,5.0
67.88736483844153,108.50112442175127,0.0,0.0,5.0,5.0
66.02732969121233,96.21510891582477,0.0,0.0,3.75,3.75
58.430063596181654,90.08464612085953,0.0,0.0,3.0,3.0
46.18270963307773,98.2580244619577,0.0,0.0,3.0,3.0
35.50854379335107,106.52274336091365,0.0,0.0,3.0,3.0
27.33360029357292,114.63023262269411,0.0,0.0,3.0,3.0
25.47356514634371,118.87117867330169,0.0,0.0,3.0,3.0
24.54354757272914,122.57433981365821,0.0,0.0,3.0,3.0
24.07853878592184,126.08250931908388,0.0,0.0,3.0,3.0
26.577761125870513,128.63604686374256,0.0,0.0,3.0,3.0
33.53185673642541,128.07960681628958,0.0,0.0,3.0,3.0
43.10294645997117,123.09124733259225,0.0,0.0,3.0,3.0
49.89195004618607,120.23571285766347,0.0,0.039375,3.0,3.0
47.771207156474944,114.70190968118489,0.0,0.1575,3.0,3.0
44.43247974066465,112.3928533473134,0.0,0.0905625,3.0,3.0
41.27589731427925,85.97687600939103,0.0,0.3991875,3.0,3.0
41.74090610108653,73.08889175942014,0.03534967742759,0.3835625,3.0,3.0
41.27589731427925,82.33915524777667,0.0,0.0298125,3.0,3.0
39.88087095385723,79.15622138751611,0.0,0.1035,3.0,3.0
39.41586216704995,53.789795894130485,0.7395388956587993,0.414,2.375,2.375
41.919067864041736,60.902098981146615,0.0,0.0345,2.0,2.0
54.1715249169611,65.86661714379066,0.0,0.0,2.0,2.0
68.75300919567339,60.71019819248736,0.0,0.0,2.0,2.0
71.33876087219194,59.02087461548472,0.0,0.0,2.0,2.0
67.88736483844153,62.56539197197169,0.0,0.0,2.0,2.0
66.02732969121233,58.08808582327114,0.0,0.0,1.375,1.375
58.430063596181654,57.462071919498676,0.0,0.0,1.0,1.0
46.18270963307773,65.60431394687727,0.0,0.0,1.0,1.0
35.50854379335107,73.92275494783779,0.0,0.0,1.0,1.0
27.33360029357292,81.95596874811636,0.0,0.0,1.0,1.0
25.47356514634371,85.59506001198021,0.0,0.0,1.0,1.0
24.54354757272914,97.14581377844681,0.0,0.0,1.625,1.625
24.07853878592184,104.56674434958902,0.0,0.0,2.0,2.0
26.577761125870513,105.53758281893438,0.0,0.0,2.0,2.0
33.53185673642541,102.67243254647883,0.0,0.0,2.0,2.0
43.10294645997117,95.4592988890018,0.0,0.0,2.0,2.0
49.958243229241965,93.59704555370888,0.0,0.0,2.0,2.0
49.22865396302196,97.64966695410733,0.0,0.0,2.0,2.0
45.88992654721165,94.46443497661406,0.0,0.0,2.0,2.0
42.73334412082626,88.84279079185869,0.0,0.0,2.0,2.0
43.19835290763354,84.62690193255239,0.0,0.0,2.0,2.0
42.549621892823666,82.54794624902,0.0,0.0,2.0,2.0
41.33831776040424,82.58101205124153,0.0,0.0,2.0,2.0
40.873308973596956,83.73848918523348,0.0,0.0,2.0,2.0
43.376514670588755,83.9324134380209,0.0,0.0,2.0,2.0
55.62897172350814,82.69107679780089,0.0,0.0,2.0,2.0
68.8193023787293,75.286604990124,0.0,0.0,2.0,2.0
71.33876087219194,72.0566843273349,0.0,0.0,2.0,2.0
67.88736483844153,74.30965250711722,0.0,0.0,2.0,2.0
66.02732969121233,86.64033218241939,0.0,0.0,2.625,2.625
58.430063596181654,96.84817791692817,0.0,0.0,3.0,3.0
46.18270963307773,105.98907895937239,0.0,0.0,3.0,3.0
35.50854379335107,115.03938790199925,0.0,0.0,3.0,3.0
27.33360029357292,123.9770872619227,0.0,0.0,3.0,3.0
